Job Role,Skills
Software Engineer,"CI/CD, Java, OOP, REST APIs, Unit Testing"
Software Engineer,"CI/CD, Data Structures, Microservices, OOP, Spring Boot"
Software Engineer,"CI/CD, Data Structures, Git, Java, REST APIs"
Software Engineer,"CI/CD, Data Structures, Java, Microservices, OOP"
Software Engineer,"Algorithms, Data Structures, Microservices, REST APIs, Spring Boot"
Software Engineer,"CI/CD, Data Structures, Java, OOP, Spring Boot"
Software Engineer,"Algorithms, Data Structures, Git, OOP, Unit Testing"
Software Engineer,"Algorithms, Git, Java, OOP, Unit Testing"
Software Engineer,"Algorithms, Data Structures, Git, Microservices, Spring Boot"
Software Engineer,"Algorithms, Git, OOP, Spring Boot, Unit Testing"
Software Engineer,"CI/CD, Data Structures, Microservices, OOP, REST APIs"
Software Engineer,"Java, OOP, REST APIs, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, Data Structures, Git, Spring Boot, Unit Testing"
Software Engineer,"Data Structures, Git, Microservices, REST APIs, Spring Boot"
Software Engineer,"Algorithms, CI/CD, Data Structures, Java, REST APIs"
Software Engineer,"Data Structures, Microservices, REST APIs, Spring Boot, Unit Testing"
Software Engineer,"Data Structures, Git, Java, Microservices, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Git, OOP, Spring Boot"
Software Engineer,"CI/CD, Git, Java, OOP, Spring Boot"
Software Engineer,"Algorithms, CI/CD, Microservices, REST APIs, Spring Boot"
Software Engineer,"Algorithms, CI/CD, Java, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, Data Structures, Git, REST APIs, Unit Testing"
Software Engineer,"Data Structures, Java, REST APIs, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Java, OOP, Spring Boot"
Software Engineer,"Algorithms, Git, Microservices, REST APIs, Unit Testing"
Software Engineer,"CI/CD, Git, Java, Microservices, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Microservices, REST APIs, Unit Testing"
Software Engineer,"CI/CD, Data Structures, Java, Microservices, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Java, Microservices, Spring Boot"
Software Engineer,"Algorithms, Data Structures, Git, Java, Unit Testing"
Software Engineer,"Algorithms, Git, Java, REST APIs, Spring Boot"
Software Engineer,"Algorithms, Java, OOP, Spring Boot, Unit Testing"
Software Engineer,"CI/CD, Microservices, REST APIs, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Data Structures, Java, Unit Testing"
Software Engineer,"CI/CD, Git, Java, REST APIs, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Java, Microservices, OOP"
Software Engineer,"Algorithms, CI/CD, Microservices, OOP, Spring Boot"
Software Engineer,"Algorithms, Data Structures, Git, Microservices, REST APIs"
Software Engineer,"CI/CD, Data Structures, OOP, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Git, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, CI/CD, Microservices, Spring Boot, Unit Testing"
Software Engineer,"CI/CD, Data Structures, Microservices, OOP, Unit Testing"
Software Engineer,"CI/CD, Data Structures, Java, Microservices, REST APIs"
Software Engineer,"Algorithms, Microservices, OOP, REST APIs, Spring Boot"
Software Engineer,"Data Structures, Git, Java, Microservices, REST APIs"
Software Engineer,"CI/CD, Data Structures, Java, REST APIs, Unit Testing"
Software Engineer,"CI/CD, Data Structures, Git, Microservices, Spring Boot"
Software Engineer,"Algorithms, CI/CD, Data Structures, Git, OOP"
Software Engineer,"Algorithms, Java, REST APIs, Spring Boot, Unit Testing"
Software Engineer,"Data Structures, Java, Microservices, REST APIs, Spring Boot"
Software Engineer,"Algorithms, Java, Microservices, REST APIs, Unit Testing"
Software Engineer,"Algorithms, Git, Java, Spring Boot, Unit Testing"
Software Engineer,"Algorithms, Git, Java, Microservices, OOP"
Software Engineer,"Data Structures, Java, Microservices, OOP, Spring Boot"
Software Engineer,"Algorithms, Microservices, OOP, Spring Boot, Unit Testing"
Web Developer,"AJAX, Bootstrap, DOM, React, SEO"
Web Developer,"DOM, HTML, React, Responsive Design, SEO"
Web Developer,"AJAX, Bootstrap, DOM, JavaScript, SEO"
Web Developer,"AJAX, Bootstrap, HTML, JSON, React"
Web Developer,"DOM, HTML, JSON, React, Responsive Design"
Web Developer,"AJAX, Bootstrap, DOM, JSON, Responsive Design"
Web Developer,"Bootstrap, CSS, JSON, JavaScript, Responsive Design"
Web Developer,"CSS, HTML, JavaScript, React, SEO"
Web Developer,"Bootstrap, CSS, DOM, JavaScript, React"
Web Developer,"AJAX, Bootstrap, CSS, DOM, Responsive Design"
Web Developer,"CSS, DOM, React, Responsive Design, SEO"
Web Developer,"CSS, HTML, JSON, Responsive Design, SEO"
Web Developer,"AJAX, Bootstrap, CSS, DOM, JSON"
Web Developer,"Bootstrap, CSS, DOM, React, Responsive Design"
Web Developer,"AJAX, HTML, React, Responsive Design, SEO"
Web Developer,"DOM, HTML, JSON, JavaScript, SEO"
Web Developer,"AJAX, DOM, JavaScript, React, Responsive Design"
Web Developer,"AJAX, CSS, HTML, JavaScript, SEO"
Web Developer,"DOM, JSON, JavaScript, React, Responsive Design"
Web Developer,"CSS, DOM, JSON, Responsive Design, SEO"
Web Developer,"AJAX, JSON, React, Responsive Design, SEO"
Web Developer,"AJAX, CSS, HTML, JSON, React"
Web Developer,"AJAX, CSS, JSON, JavaScript, React"
Web Developer,"AJAX, Bootstrap, JavaScript, Responsive Design, SEO"
Web Developer,"Bootstrap, CSS, JSON, React, SEO"
Web Developer,"HTML, JSON, JavaScript, React, Responsive Design"
Web Developer,"Bootstrap, CSS, HTML, Responsive Design, SEO"
Web Developer,"Bootstrap, DOM, HTML, JSON, Responsive Design"
Web Developer,"AJAX, DOM, HTML, JSON, SEO"
Web Developer,"AJAX, DOM, JSON, React, SEO"
Web Developer,"Bootstrap, DOM, JavaScript, React, Responsive Design"
Web Developer,"AJAX, CSS, HTML, JavaScript, React"
Web Developer,"Bootstrap, CSS, DOM, React, SEO"
Web Developer,"AJAX, JSON, JavaScript, React, Responsive Design"
Web Developer,"AJAX, JSON, JavaScript, Responsive Design, SEO"
Web Developer,"Bootstrap, JSON, JavaScript, React, Responsive Design"
Web Developer,"CSS, DOM, JavaScript, React, Responsive Design"
Web Developer,"AJAX, Bootstrap, JSON, JavaScript, React"
Web Developer,"AJAX, DOM, React, Responsive Design, SEO"
Web Developer,"Bootstrap, DOM, React, Responsive Design, SEO"
Web Developer,"AJAX, Bootstrap, HTML, JSON, SEO"
Web Developer,"AJAX, Bootstrap, HTML, React, Responsive Design"
Web Developer,"AJAX, DOM, HTML, JSON, Responsive Design"
Web Developer,"CSS, DOM, JSON, JavaScript, React"
Web Developer,"Bootstrap, CSS, JSON, JavaScript, SEO"
Web Developer,"AJAX, DOM, JavaScript, Responsive Design, SEO"
Web Developer,"Bootstrap, DOM, JSON, JavaScript, React"
Web Developer,"DOM, HTML, JavaScript, React, SEO"
Web Developer,"AJAX, DOM, JSON, JavaScript, React"
Web Developer,"AJAX, CSS, DOM, React, Responsive Design"
Web Developer,"CSS, DOM, JavaScript, Responsive Design, SEO"
Web Developer,"CSS, JavaScript, React, Responsive Design, SEO"
Web Developer,"AJAX, Bootstrap, JavaScript, React, SEO"
Web Developer,"AJAX, CSS, JavaScript, React, Responsive Design"
Web Developer,"DOM, HTML, JavaScript, Responsive Design, SEO"
Web Developer,"AJAX, CSS, HTML, JSON, SEO"
Web Developer,"AJAX, CSS, DOM, JSON, JavaScript"
Web Developer,"CSS, JSON, React, Responsive Design, SEO"
Web Developer,"AJAX, CSS, HTML, Responsive Design, SEO"
Web Developer,"AJAX, Bootstrap, CSS, DOM, SEO"
Web Developer,"Bootstrap, DOM, JavaScript, React, SEO"
Web Developer,"Bootstrap, CSS, JSON, Responsive Design, SEO"
Web Developer,"CSS, DOM, JSON, React, SEO"
Web Developer,"Bootstrap, HTML, JSON, React, SEO"
Web Developer,"DOM, HTML, JSON, React, SEO"
Web Developer,"AJAX, CSS, DOM, JavaScript, Responsive Design"
Web Developer,"AJAX, DOM, JavaScript, React, SEO"
Web Developer,"Bootstrap, DOM, HTML, JSON, React"
Web Developer,"CSS, DOM, JSON, React, Responsive Design"
Web Developer,"AJAX, Bootstrap, DOM, JavaScript, Responsive Design"
Web Developer,"AJAX, Bootstrap, CSS, DOM, HTML"
Web Developer,"Bootstrap, CSS, JSON, React, Responsive Design"
Web Developer,"AJAX, Bootstrap, CSS, HTML, JavaScript"
Web Developer,"DOM, JSON, JavaScript, Responsive Design, SEO"
Web Developer,"AJAX, DOM, HTML, React, SEO"
Web Developer,"Bootstrap, CSS, JavaScript, React, Responsive Design"
Web Developer,"AJAX, HTML, JSON, Responsive Design, SEO"
Web Developer,"HTML, JavaScript, React, Responsive Design, SEO"
Web Developer,"CSS, HTML, JSON, JavaScript, Responsive Design"
Web Developer,"Bootstrap, CSS, DOM, HTML, JavaScript"
Web Developer,"Bootstrap, CSS, HTML, JSON, React"
Web Developer,"Bootstrap, HTML, JSON, JavaScript, React"
Web Developer,"AJAX, Bootstrap, DOM, JSON, React"
Web Developer,"AJAX, Bootstrap, DOM, HTML, SEO"
Web Developer,"JSON, JavaScript, React, Responsive Design, SEO"
Web Developer,"AJAX, HTML, JSON, React, SEO"
Web Developer,"AJAX, Bootstrap, HTML, Responsive Design, SEO"
Web Developer,"AJAX, Bootstrap, DOM, React, Responsive Design"
Web Developer,"AJAX, DOM, JSON, JavaScript, Responsive Design"
Web Developer,"AJAX, Bootstrap, CSS, JavaScript, SEO"
Web Developer,"AJAX, CSS, JSON, JavaScript, SEO"
Web Developer,"AJAX, Bootstrap, CSS, DOM, JavaScript"
Web Developer,"Bootstrap, CSS, DOM, JSON, React"
Web Developer,"Bootstrap, DOM, JSON, React, Responsive Design"
Web Developer,"Bootstrap, CSS, DOM, HTML, Responsive Design"
Web Developer,"Bootstrap, CSS, JavaScript, React, SEO"
Web Developer,"AJAX, CSS, React, Responsive Design, SEO"
Web Developer,"Bootstrap, CSS, DOM, HTML, JSON"
Web Developer,"AJAX, CSS, HTML, React, SEO"
Web Developer,"AJAX, CSS, DOM, HTML, Responsive Design"
Data Scientist,"EDA, Machine Learning, Model Evaluation, Pandas, XGBoost"
Data Scientist,"Machine Learning, Matplotlib, Model Evaluation, Seaborn, XGBoost"
Data Scientist,"EDA, Model Evaluation, Python, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, Machine Learning, Scikit-learn, Seaborn, XGBoost"
Data Scientist,"Data Pipelines, EDA, Machine Learning, Pandas, XGBoost"
Data Scientist,"Data Pipelines, EDA, Python, Seaborn, XGBoost"
Data Scientist,"EDA, Matplotlib, Model Evaluation, Pandas, Scikit-learn"
Data Scientist,"Matplotlib, Model Evaluation, Python, Scikit-learn, Seaborn"
Data Scientist,"EDA, Matplotlib, Python, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, Matplotlib, Model Evaluation, Pandas, XGBoost"
Data Scientist,"EDA, Matplotlib, Pandas, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, EDA, Matplotlib, Seaborn, XGBoost"
Data Scientist,"Data Pipelines, EDA, Machine Learning, Pandas, Seaborn"
Data Scientist,"Data Pipelines, Machine Learning, Matplotlib, Python, XGBoost"
Data Scientist,"Data Pipelines, Machine Learning, Matplotlib, Pandas, Python"
Data Scientist,"Machine Learning, Matplotlib, Pandas, Python, XGBoost"
Data Scientist,"EDA, Pandas, Python, Seaborn, XGBoost"
Data Scientist,"Data Pipelines, EDA, Machine Learning, Model Evaluation, Seaborn"
Data Scientist,"EDA, Matplotlib, Model Evaluation, Pandas, Python"
Data Scientist,"Data Pipelines, EDA, Model Evaluation, Scikit-learn, XGBoost"
Data Scientist,"Data Pipelines, Model Evaluation, Pandas, Seaborn, XGBoost"
Data Scientist,"Matplotlib, Model Evaluation, Pandas, Python, XGBoost"
Data Scientist,"Data Pipelines, Model Evaluation, Pandas, Python, XGBoost"
Data Scientist,"Machine Learning, Matplotlib, Model Evaluation, Pandas, XGBoost"
Data Scientist,"Data Pipelines, Matplotlib, Model Evaluation, Pandas, Scikit-learn"
Data Scientist,"Data Pipelines, EDA, Machine Learning, Matplotlib, Seaborn"
Data Scientist,"Data Pipelines, EDA, Machine Learning, Pandas, Scikit-learn"
Data Scientist,"Data Pipelines, EDA, Machine Learning, Python, XGBoost"
Data Scientist,"EDA, Matplotlib, Model Evaluation, Scikit-learn, XGBoost"
Data Scientist,"Matplotlib, Model Evaluation, Pandas, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, Machine Learning, Pandas, Python, XGBoost"
Data Scientist,"Data Pipelines, Machine Learning, Model Evaluation, Pandas, Scikit-learn"
Data Scientist,"EDA, Matplotlib, Pandas, Seaborn, XGBoost"
Data Scientist,"Data Pipelines, Pandas, Python, Scikit-learn, XGBoost"
Data Scientist,"Machine Learning, Model Evaluation, Pandas, Python, Scikit-learn"
Data Scientist,"EDA, Machine Learning, Matplotlib, Scikit-learn, Seaborn"
Data Scientist,"EDA, Machine Learning, Model Evaluation, Seaborn, XGBoost"
Data Scientist,"Data Pipelines, Matplotlib, Python, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, EDA, Pandas, Python, XGBoost"
Data Scientist,"EDA, Pandas, Scikit-learn, Seaborn, XGBoost"
Data Scientist,"Data Pipelines, Machine Learning, Matplotlib, Model Evaluation, Python"
Data Scientist,"Data Pipelines, Machine Learning, Matplotlib, Model Evaluation, Scikit-learn"
Data Scientist,"Machine Learning, Matplotlib, Model Evaluation, Scikit-learn, XGBoost"
Data Scientist,"EDA, Machine Learning, Matplotlib, Model Evaluation, Pandas"
Data Scientist,"Machine Learning, Matplotlib, Model Evaluation, Python, Seaborn"
Data Scientist,"Data Pipelines, Matplotlib, Model Evaluation, Scikit-learn, XGBoost"
Data Scientist,"Data Pipelines, Machine Learning, Python, Scikit-learn, XGBoost"
Data Scientist,"Data Pipelines, Machine Learning, Python, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, Machine Learning, Matplotlib, Pandas, Scikit-learn"
Data Scientist,"EDA, Model Evaluation, Pandas, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, EDA, Matplotlib, Model Evaluation, Pandas"
Data Scientist,"EDA, Matplotlib, Python, Scikit-learn, XGBoost"
Data Scientist,"Data Pipelines, EDA, Python, Scikit-learn, XGBoost"
Data Scientist,"Data Pipelines, EDA, Machine Learning, Matplotlib, Python"
Data Scientist,"EDA, Model Evaluation, Python, Seaborn, XGBoost"
Data Scientist,"EDA, Matplotlib, Pandas, Scikit-learn, XGBoost"
Data Scientist,"Model Evaluation, Pandas, Python, Scikit-learn, Seaborn"
Data Scientist,"Matplotlib, Pandas, Scikit-learn, Seaborn, XGBoost"
Data Scientist,"EDA, Matplotlib, Model Evaluation, Python, XGBoost"
Data Scientist,"EDA, Machine Learning, Pandas, Python, Scikit-learn"
Data Scientist,"EDA, Machine Learning, Matplotlib, Model Evaluation, Scikit-learn"
Data Scientist,"Machine Learning, Pandas, Python, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, Model Evaluation, Pandas, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, EDA, Matplotlib, Pandas, Python"
Data Scientist,"EDA, Machine Learning, Matplotlib, Python, Scikit-learn"
Data Scientist,"Data Pipelines, EDA, Machine Learning, Model Evaluation, Scikit-learn"
Data Scientist,"EDA, Matplotlib, Python, Seaborn, XGBoost"
Data Scientist,"Machine Learning, Matplotlib, Pandas, Python, Scikit-learn"
Data Scientist,"Machine Learning, Pandas, Python, Seaborn, XGBoost"
Data Scientist,"Machine Learning, Matplotlib, Model Evaluation, Pandas, Python"
Data Scientist,"Data Pipelines, EDA, Machine Learning, Pandas, Python"
Data Scientist,"Data Pipelines, Machine Learning, Model Evaluation, Pandas, XGBoost"
Data Scientist,"Data Pipelines, Machine Learning, Model Evaluation, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, EDA, Model Evaluation, Seaborn, XGBoost"
Data Scientist,"EDA, Matplotlib, Model Evaluation, Pandas, Seaborn"
Data Scientist,"Machine Learning, Model Evaluation, Python, Seaborn, XGBoost"
Data Scientist,"EDA, Matplotlib, Pandas, Python, Seaborn"
Data Scientist,"EDA, Matplotlib, Model Evaluation, Python, Seaborn"
Data Scientist,"Data Pipelines, EDA, Matplotlib, Python, Seaborn"
Data Scientist,"Data Pipelines, Machine Learning, Matplotlib, Pandas, XGBoost"
Data Scientist,"Data Pipelines, Machine Learning, Matplotlib, Python, Seaborn"
Data Scientist,"Data Pipelines, EDA, Model Evaluation, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, Machine Learning, Model Evaluation, Scikit-learn, XGBoost"
Data Scientist,"Data Pipelines, EDA, Scikit-learn, Seaborn, XGBoost"
Data Scientist,"Data Pipelines, Matplotlib, Pandas, Python, Seaborn"
Data Scientist,"Matplotlib, Model Evaluation, Pandas, Python, Scikit-learn"
Data Scientist,"Data Pipelines, Matplotlib, Pandas, Python, XGBoost"
Data Scientist,"EDA, Matplotlib, Model Evaluation, Python, Scikit-learn"
Data Scientist,"Data Pipelines, EDA, Matplotlib, Python, XGBoost"
Data Scientist,"Data Pipelines, Machine Learning, Pandas, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, EDA, Model Evaluation, Pandas, Scikit-learn"
Data Scientist,"Matplotlib, Model Evaluation, Python, Seaborn, XGBoost"
Data Scientist,"Machine Learning, Matplotlib, Scikit-learn, Seaborn, XGBoost"
Data Scientist,"Machine Learning, Model Evaluation, Python, Scikit-learn, Seaborn"
Data Scientist,"Data Pipelines, EDA, Machine Learning, Scikit-learn, XGBoost"
Data Scientist,"EDA, Model Evaluation, Python, Scikit-learn, XGBoost"
